Depth_Image,Block_Size,WLS_Lambda,Depth_RMSE_mm,Spatial_Noise_mm,Median_LR_Consistency_Error_px
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,3,500,3.3250,3.3034,0.06
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,3,2000,3.3330,3.2998,0.12
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,3,8000,3.5300,3.4383,0.12
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,3,500,3.3250,3.3034,0.06
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,3,2000,3.3330,3.2997,0.12
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,3,8000,3.5320,3.4400,0.12
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,3,500,3.3218,3.3004,0.06
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,3,2000,3.3296,3.2967,0.12
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,3,8000,3.5291,3.4376,0.12
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,5,500,3.0805,3.0777,0.06
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,5,2000,3.1047,3.1047,0.06
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,5,8000,3.2821,3.2629,0.12
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,5,500,3.0805,3.0777,0.06
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,5,2000,3.1047,3.1047,0.06
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,5,8000,3.2821,3.2629,0.12
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,5,500,3.0805,3.0777,0.06
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,5,2000,3.1047,3.1046,0.06
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,5,8000,3.2814,3.2623,0.12
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,7,500,2.9464,2.9282,0.06
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,7,2000,2.9774,2.9705,0.12
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,7,8000,3.1544,3.1496,0.19
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,7,500,2.9464,2.9283,0.06
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,7,2000,2.9774,2.9706,0.12
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,7,8000,3.1547,3.1499,0.19
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,7,500,2.9464,2.9282,0.06
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,7,2000,2.9774,2.9706,0.12
C:\repos\images\received_depth\60mm_depth\left_image_1051128656329600_705mm.png,7,8000,3.1547,3.1499,0.19
